,time
297,4.43115
298,11.591001
299,0.366021
300,12.2808
301,3.137609
302,1.86242
303,2.040261
304,1.163886
305,1.166877
306,7.87297
307,0.965506
308,0.523112
309,7.267566
310,0.209443
311,0.977502
312,0.611333
313,0.235369
314,0.585432
315,0.339291
316,2.263987
317,3.019044
318,0.361034
319,6.151576
320,27.955238
321,1.363262
322,4.328425
323,0.460767
324,0.788915
325,0.109705
326,10.477304
327,0.223401
328,0.109704
329,0.232377
330,0.321139
331,0.419875
332,0.106713
333,1.400256
334,0.104719
335,2.95019
336,35.202075
337,0.334133
338,0.720041
339,3.997948
340,6.146561
341,2.032575
342,0.563526
343,0.212474
344,0.872664
345,1.400255
346,6.627291
347,13.490195
348,0.510317
349,1.277592
350,12.729082
351,5.055504
352,1.238847
353,1.094071
354,3.228554
355,2.785007
356,4.048691
357,5.12828
358,1.246922
359,3.971378
360,0.656261
361,2.642228
362,0.394942
363,4.721374
364,1.16289
365,0.587429
366,1.544867
367,0.314161
368,0.513171
369,1.59875
370,0.231378
371,6.182955
372,3.349269
373,4.367493
374,4.048949
375,7.032194
376,17.183078
377,4.755282
378,0.210437
379,0.941485
380,0.380965
381,18.043746
382,0.512629
383,0.314159
384,2.185352
385,0.511655
386,6.789895
387,0.416887
388,2.892741
389,2.296308
390,0.21343
391,8.065431
392,0.106712
393,3.006957
394,1.826143
395,1.566018
396,4.827909
397,2.860834
398,2.109357
399,0.36203
